country,location_name,latitude,longitude,timezone,last_updated,temperature_celsius,wind_kph,wind_direction,precip_mm,humidity,sunrise,sunset,year,month,day
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-16 04:45:00,23.1,4.0,ENE,0.04,98,05:49 AM,05:50 PM,2024,May,16
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-16 10:00:00,31.4,6.5,ENE,0.0,61,05:49 AM,05:50 PM,2024,May,16
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-17 12:00:00,29.6,5.8,E,1.15,79,05:49 AM,05:50 PM,2024,May,17
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-18 10:30:00,28.7,7.2,E,0.46,81,05:49 AM,05:50 PM,2024,May,18
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-19 10:00:00,27.2,5.8,NE,1.2,87,05:49 AM,05:50 PM,2024,May,19
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-20 10:45:00,29.4,7.9,ENE,0.27,74,05:49 AM,05:50 PM,2024,May,20
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-21 10:45:00,28.6,7.9,ENE,0.96,82,05:49 AM,05:50 PM,2024,May,21
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-22 10:15:00,31.7,7.9,E,0.0,60,05:49 AM,05:50 PM,2024,May,22
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-23 10:00:00,28.1,5.4,ENE,0.94,86,05:49 AM,05:50 PM,2024,May,23
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-24 10:30:00,30.3,6.1,E,0.19,71,05:49 AM,05:50 PM,2024,May,24
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-25 10:00:00,30.2,6.5,E,1.17,73,05:50 AM,05:50 PM,2024,May,25
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-26 10:00:00,31.1,5.8,E,0.0,63,05:50 AM,05:50 PM,2024,May,26
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-27 10:30:00,26.0,5.0,NNE,0.95,95,05:50 AM,05:50 PM,2024,May,27
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-28 10:30:00,26.4,3.6,WSW,0.93,92,05:50 AM,05:51 PM,2024,May,28
Brazil,Bras,-2.08,-58.17,America/Manaus,2024-05-29 10:00:00,26.1,3.6,WSW,1.67,93,05:50 AM,05:51 PM,2024,May,29
