month,country,temperature_celsius
August,Argentina,9.764516129032257
August,Bolivia,17.067741935483873
August,Brazil,28.5258064516129
August,Chile,5.583870967741936
August,Ecuador,9.574193548387097
August,Guyana,26.94193548387097
August,Paraguay,18.12258064516129
August,Peru,15.167741935483871
August,Suriname,26.693548387096776
August,Uruguay,10.416129032258064
August,Venezuela,24.774193548387096
July,Argentina,6.796428571428572
July,Bolivia,15.539285714285715
July,Brazil,28.348275862068967
July,Chile,4.231034482758621
July,Ecuador,10.703448275862069
July,Guyana,26.637931034482758
July,Paraguay,15.189655172413794
July,Peru,15.360714285714286
July,Suriname,26.351724137931036
July,Uruguay,7.541379310344827
July,Venezuela,24.862068965517242
June,Argentina,13.55
June,Bolivia,21.42542372881356
June,Brazil,29.413333333333334
June,Chile,7.8133333333333335
June,Colombia,13.5
June,Ecuador,13.266666666666667
June,Guyana,27.67
June,Paraguay,25.146666666666665
June,Peru,17.136666666666667
June,Suriname,28.406896551724138
June,Uruguay,13.463333333333333
June,Venezuela,27.283333333333335
May,Argentina,11.235294117647058
May,Bolivia,20.052941176470586
May,Brazil,28.276470588235295
May,Chile,6.882352941176471
May,Ecuador,15.229411764705882
May,Guyana,28.11764705882353
May,Paraguay,19.423529411764704
May,Peru,18.11764705882353
May,Suriname,28.61764705882353
May,Uruguay,11.941176470588236
May,Venezuela,28.53529411764706
October,Argentina,14.86
October,Bolivia,18.354166666666668
October,Brazil,24.59166666666667
October,Chile,10.4625
October,Ecuador,10.629166666666666
October,Guyana,25.166666666666668
October,Paraguay,22.936
October,Peru,15.987499999999999
October,Suriname,24.264
October,Uruguay,14.04
October,Venezuela,19.129166666666666
September,Argentina,12.383333333333333
September,Bolivia,18.85666666666667
September,Brazil,27.71333333333333
September,Chile,7.716666666666667
September,Ecuador,10.35
September,Guyana,26.02
September,Paraguay,22.59
September,Peru,15.156666666666666
September,Suriname,26.08
September,Uruguay,12.55
September,Venezuela,26.896666666666665
